2021-07-19 09:06:54,transylvaniahat,,"b'@Telkomsel mohon info jaringan telkomsel dan telkomsel orbit untuk area sawahlunto, sumbar kok tidak stabil? Internetnya sangat lamban'"
2021-07-19 09:02:14,peachiesjyh,,b'gua nungguin jaringan telkomsel sampe ketiduran 2 jam'
2021-07-19 08:56:46,Telkomsel,Indonesia,b'@rifkyharum Maaf Kak Rifkyn. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomatis namun sinyal\xe2\x80\xa6 https://t.co/rTduuDw5Vf'
2021-07-19 08:54:10,rifkyharum,"Tasikmalaya, Jawa Barat","b'@Telkomsel Jaringannya gak stabil,dikit dikit loading,buka sosmedpun ga selancar dulu,kasang kadang tidak ada layan\xe2\x80\xa6 https://t.co/olQ9UpCdPe'"
2021-07-19 08:31:01,vidio,Indonesia,"b'@rzlmu Hai Kak, khusus pelanggan @telkomsel yang menggunakan jaringan Telkomsel dapat menyaksikan tayangan Olympics\xe2\x80\xa6 https://t.co/xkr6GGOSTH'"
2021-07-19 08:30:24,vidio,Indonesia,b'4 Hari Menuju Awal Perjuangan \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nOlimpiade Tokyo 2020 tinggal menghitung jari. Ayo kita kawal atlet-atlet Indonesi\xe2\x80\xa6 https://t.co/vtXxcXTUIX'
2021-07-19 08:17:27,Telkomsel,Indonesia,"b'@ukailovebot Hai, Kak. Maaf ya terkait kendala sinyal, apa sudah coba pindahkan mode jaringan dari otomatis ke manu\xe2\x80\xa6 https://t.co/VA2dD4EUoE'"
2021-07-19 08:14:22,Telkomsel,Indonesia,"b'@rifkyharum Hi, Kak. Mohon infokan lebih detail kendala jaringan yang dialami, agar dapat Mimin berikan solusi yang\xe2\x80\xa6 https://t.co/H66JA77yJD'"
2021-07-19 07:59:33,Telkomsel,Indonesia,"b'@violetlilacss Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga st\xe2\x80\xa6 https://t.co/kxmBeW6awx'"
2021-07-19 07:48:58,D_Demus,Stasiun Depok-Stasiun Sudirman,"b'Niat mau ngabisin kuota telkomsel dengan donlot2 film sebelum gw buang kartunya, eh... gw lupa jaringan telkomshit\xe2\x80\xa6 https://t.co/VmbCqvA2EU'"
2021-07-19 07:25:36,vidio,Indonesia,b'Rio Waida dan Nurul Akmal akan menjadi pembawa bendera merah putih pada Opening Ceremony Tokyo Olympic 2020 \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nNon\xe2\x80\xa6 https://t.co/aSv0dkq2vH'
2021-07-19 07:22:07,Telkomsel,Indonesia,"b'@Ahmadani2000 Hai, Kak Ahmad. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh\xe2\x80\xa6 https://t.co/u8oq2CV2CV'"
2021-07-19 07:20:16,Telkomsel,Indonesia,"b'@citraprayogo_ Hai, Kak. Maaf ya jadi ga nyaman. Mengenai keluhan jaringan yang menyebabkan akses internet lambat.\xe2\x80\xa6 https://t.co/95MPEBCpJC'"
2021-07-19 07:07:49,Telkomsel,Indonesia,"b'@Lantunan_Musik Hai, Kak. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh den\xe2\x80\xa6 https://t.co/u87gIc9voG'"
2021-07-19 07:00:08,utimutie,"Padang, Indonesia","b'@LidyaNatalia199 @Telkomsel Sering di sini tetiba hilang jaringan telkomsel onty, hilangnya lama pula. Sebel deh \xf0\x9f\x98\x91'"
2021-07-19 06:53:12,Telkomsel,Indonesia,"b'@BomWar Hai, Kak. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refresh dengan cara\xe2\x80\xa6 https://t.co/DTI00mS6hT'"
2021-07-19 06:50:49,Telkomsel,Indonesia,"b'@aden87 @obsesihanna @GlHindu Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data la\xe2\x80\xa6 https://t.co/BHtSKhSFyg'"
2021-07-19 06:39:12,Telkomsel,Indonesia,"b'@ekanurrokhmah Hai, Kak Eka. Maaf ya terkait kendala hilang sinyal, apa sudah coba pindahkan mode jaringan dari oto\xe2\x80\xa6 https://t.co/u4eklhMHm3'"
2021-07-19 06:14:41,Telkomsel,Indonesia,"b'@ranaadiptr Hai, Kak Rana. Maaf kalau sinyalnya tidak stabil\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke\xe2\x80\xa6 https://t.co/Otd7az9NgA'"
2021-07-19 06:04:53,Telkomsel,Indonesia,"b'@RFirlandy Maaf Kak Reyhan, jadi ga nyaman. Jika sudah setting jaringan dari otomatis ke manual lalu kembali otomat\xe2\x80\xa6 https://t.co/9r49KXruzm'"
2021-07-19 04:59:18,Telkomsel,Indonesia,"b'@Gcella_ Hai, Kak Gancva. Maaf kalau sinyalnya tidak stabil\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke m\xe2\x80\xa6 https://t.co/42JKesHECH'"
2021-07-19 04:58:31,kesahmacet,,b'@Telkomsel baru nongol min jaringannya... tadi ada setengah jam jaringan nya ilang'
2021-07-19 04:55:59,kesahmacet,,"b'@Telkomsel baru siang ini aja jaringan selular nya ilang, tadi pagi lancar...'"
2021-07-19 04:54:18,Telkomsel,Indonesia,"b'@kesahmacet Hai, Kak. Maaf ya jadi ga nyaman. Mengenai keluhan jaringan yang menyebabkan akses internet lambat. Saa\xe2\x80\xa6 https://t.co/OOSxJToQEm'"
2021-07-19 04:52:58,kesahmacet,,b'@Telkomsel ini jaringan telkomsel kenapa tidak tersedia ya sampai skrg jam 12.52 pm WITA ... lokasi bontang kaltim https://t.co/ySLnLEssdk'
2021-07-19 04:52:24,Telkomsel,Indonesia,"b'@kesahmacet Hai, Kak. Maaf kalau sinyalnya hilang\xf0\x9f\x98\xa2 Udah Refresh Jaringan dgn pindahkan dari otomatis ke manual &amp; ke\xe2\x80\xa6 https://t.co/THqHx7SP40'"
2021-07-19 04:36:24,Harun30197737,,"b'@FirstMediaCares , jaringan internet masih belum stabil juga? Kita lagi PPKM kerja dirumah pakai jaringan internet\xe2\x80\xa6 https://t.co/YTeXMWjR61'"
2021-07-19 04:36:12,arie_apriannor,pelaihari,b'@DPlusID_Help Jaringan ternyata Min... Telkomsel lagi jongkok di tempat saya saat itu... Sudah selesai Loki nya...\xe2\x80\xa6 https://t.co/j3M9nBfVG2'
2021-07-19 03:56:46,Gilanggwahyu,,"b'Telkomsel kenapa jaringan trouble selalu pas hari senin aja yo, nggak mood apa gimana to'"
2021-07-19 03:56:33,Telkomsel,Indonesia,"b'@m_adib17 Hai, Kak Adib. Maaf ya jadi ga nyaman.Terkait keluhan sinyal, apakah sebelumnya sudah mencoba refresh jar\xe2\x80\xa6 https://t.co/GXwl7OZSrS'"
2021-07-19 03:51:41,mantanorbangsat,,"b'@Telkomsel udah sering ngasih no hp no yg lain, setiap ngajuin keluhan gitu2 mulu jawabannya. jaringan juga kaga be\xe2\x80\xa6 https://t.co/X8sAxrkfVx'"
2021-07-19 03:39:31,Telkomsel,Indonesia,"b'@mantanorbangsat  Hai, Kak. Maaf ya, perihal kendala jaringan. Apa sudah coba pindahkan jaringan dari otomatis ke m\xe2\x80\xa6 https://t.co/Qp20njLJ78'"
2021-07-19 03:22:30,galangrasya30,,b'Plisss ini jaringan Telkomsel kenapa sih?@Telkomsel i susah sangat nak buka medsos'
2021-07-19 03:03:47,Telkomsel,Indonesia,"b'@mickoseptano77 Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga s\xe2\x80\xa6 https://t.co/batqmjoMvt'"
2021-07-19 03:00:35,PemburuVampiir,Bandung Indonesia / west java,"b'Provider yg bagus buat maen game apa ya? Selain telkomsel, jaringan nya bapuk mulu'"
2021-07-19 03:00:30,Telkomsel,Indonesia,"b'@guayangasli Hai, Kak. Mohon maaf perihal kendala akses internet lambat, apakah sebelumnya sudah mencoba refresh ja\xe2\x80\xa6 https://t.co/TXrQTFFhNb'"
2021-07-19 02:57:31,Telkomsel,Indonesia,"b'@scngrhtii Hai, Kak Ucit. Mohon maaf perihal kendala akses internet lambat, apakah sebelumnya sudah mencoba refresh\xe2\x80\xa6 https://t.co/LPYbEpbeBU'"
2021-07-19 02:50:55,fredicristianto,indonesia,"b'RT @WOWFAKTA: Pengguna OPPO di Jakarta sudah bisa mencoba kecepatan jaringan 5G! Sebab, beberapa produk @OPPOIndonesia, seperti OPPO Reno5\xe2\x80\xa6'"
2021-07-19 02:11:33,Telkomsel,Indonesia,"b'@maudlinamida Hai, Kak. Maaf ya terkait kendala sinyal terputus, apa sudah coba pindahkan mode jaringan dari otomat\xe2\x80\xa6 https://t.co/YSqMiMK8cN'"
2021-07-19 02:00:40,Telkomsel,Indonesia,"b'@LidyaNatalia199 Hai, Kak Lidya. Maaf ya jadi gak nyaman. Terkait kendala jaringan lemah, yuk infokan nomor HP, lok\xe2\x80\xa6 https://t.co/59H5Zurqgx'"
2021-07-19 01:51:08,mickoseptano77,Lampung,b'apaan si @Telkomsel  Sinyal bagus jaringan bagus buat Game pubg ping sampe nyentuh 200 Bangsat'
2021-07-19 01:49:37,saifulkarim97,Bireuen,"b'@Telkomsel untuk aceh kalian memang operator selular dgn jaringan terluas dan terhebat, ttp utk urusan paket, kalia\xe2\x80\xa6 https://t.co/ca9YifA9TT'"
2021-07-19 01:29:35,mnctrijaya,Jakarta,b'Beberapa waktu lalu dua operator seluler yakni Telkomsel dan Indosat telah meluncurkan jaringan 5G di Indonesia. La\xe2\x80\xa6 https://t.co/8M9Tq6ydc8'
2021-07-19 01:23:13,IrwaniPanga,,"b'RT @byu_id: Jadi sultan pake by.U aja! Bebas pilih nomor dan kuota semaumu, internetan byUbas kapan aja karena pake jaringan Telkomsel~\n\nYu\xe2\x80\xa6'"
2021-07-19 01:00:36,ceritasigelap,Jakarta,b'Indihome tolong kenapa jaringan akhir2 ini lemot ya? Kita bayar tepat waktu tapi kualitas kenpaa maalah menurun? Di\xe2\x80\xa6 https://t.co/SZo6cotQ10'
2021-07-18 23:45:07,Telkomsel,Indonesia,"b'@riokunkurniawan Hai, Kak Rio. Maaf ya, perihal kendala sinyal hilang. Apa sudah coba pindahkan jaringan dari otoma\xe2\x80\xa6 https://t.co/R39cx87xU3'"
2021-07-18 23:42:52,yazid_net,"Jakarta Pusat, DKI Jakarta",b'@Telkomsel Data untuk apa? Ini soal aplikasi.. bukan jaringan. Udahlah apus aja. https://t.co/bFI13oFkGu'
2021-07-18 22:11:24,Telkomsel,Indonesia,"b'@mmaskedmann Pagi, Kak. Maafin ya Kak, buat kendala akses data gak stabil, udah coba refresh jaringan OFF-kan data\xe2\x80\xa6 https://t.co/4oHpObltTb'"
2021-07-18 22:10:02,mmaskedmann,,"b'ping gua ga pernah siah. halo @Telkomsel , bagaimana cara menstabilkan jaringan?'"
2021-07-18 21:36:20,Telkomsel,Indonesia,"b'@djoeliand Pagi, Kak Ysetiawan. Maafin ya Kak, buat kendala akses data lambat, udah coba refresh jaringan OFF-kan d\xe2\x80\xa6 https://t.co/XNBd37W588'"
2021-07-18 20:50:04,bamkiku,she/her !,b'jaringan telkomsel kok lelet bgt sih akhir\xc2\xb2 ini :\\'
2021-07-18 20:02:03,Telkomsel,Indonesia,"b'@JalalludinMukh1 Pagi, Kak Nukfi. Maafin ya udah bikin bete, buat kendala akses data gak stabil, udah coba refresh\xe2\x80\xa6 https://t.co/LfOSZ0DHui'"
2021-07-18 18:04:59,SyafutraHenri,"Jakarta Capital Region, Indone",b'Cukup pakai jaringan Telkomsel saja dan download aplikasi Vidio. Langsung bisa ditonton \xf0\x9f\x98\x80 https://t.co/tRTiwRkBZA'
2021-07-18 17:12:24,Telkomsel,Indonesia,"b'@aldisaputrabs Maaf, Kak Aldi, perihal kendala sinyal. Apa Kakak sudah pindahkan jaringan dari otomatis ke manual d\xe2\x80\xa6 https://t.co/hs9btzx65H'"
2021-07-18 16:36:10,Telkomsel,Indonesia,"b'@Pucciiiiiiiiii Maaf ya, Kak :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara ON-OFF a\xe2\x80\xa6 https://t.co/hHOXthHECb'"
2021-07-18 16:23:04,Telkomsel,Indonesia,"b'@ArranXCV [1] Hai, Kak Arran. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau\xe2\x80\xa6 https://t.co/kQccaTH0B5'"
2021-07-18 16:18:43,Telkomsel,Indonesia,"b'@ZafranDede [1] Hai, Kak Dede. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refres\xe2\x80\xa6 https://t.co/ecRVvNPFOH'"
2021-07-18 16:17:26,Telkomsel,Indonesia,"b'@jufrikatili [1] Hai, Kak Jufri. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat at\xe2\x80\xa6 https://t.co/cuUYewx28A'"
2021-07-18 16:08:06,Telkomsel,Indonesia,"b'@twittataa [1] Hai, Kak Tata. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau\xe2\x80\xa6 https://t.co/aEv2zFzycd'"
2021-07-18 16:06:54,Telkomsel,Indonesia,"b'@Sabrero Hai, Kak. Untuk dapat menikmati layanan 5G Telkomsel, cukup dengan memenuhi syarat berikut ya:\n1. Nomor ud\xe2\x80\xa6 https://t.co/BcOpcNKicW'"
2021-07-18 16:04:18,Telkomsel,Indonesia,"b'@gedeeinstein [1] Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga\xe2\x80\xa6 https://t.co/TsBVNlKmpx'"
2021-07-18 15:46:52,Telkomsel,Indonesia,"b'@RiromVP Hai, Kak Syuhada. Maafin ya Kak, kalo berkendala sinyal gak stabil, udah cobain pindahin mode jaringan dar\xe2\x80\xa6 https://t.co/woKq7nKkxO'"
2021-07-18 15:45:22,Telkomsel,Indonesia,"b'@hatebikes18 Hai, Kak Wahyu. Maaf ya. Jika sinyal ga stabil, udah coba pindahin jaringan dari otomatis ke manual da\xe2\x80\xa6 https://t.co/xMqomxgnh6'"
2021-07-18 15:43:45,hatebikes18,Semarang,b'@Telkomsel tolong dibenahi jaringan tsel di daerah kec.argomulyo kel.randuacir salatiga masih blm optimal.. sinyal naik turun..'
2021-07-18 15:42:13,Jaeyoungjung3,"Seoul, Republic of Korea","b'@Telkomsel Udah dari seminggu lalu juga kerjaan saya hidup matikan koneksi datanya,malah ampe non aktifkan ponsel,tetep aja jaringan lemot'"
2021-07-18 15:35:56,Jaeyoungjung3,"Seoul, Republic of Korea",b'Apan yang katanya jaringan bagus ampe kepelosok daerah....\nBuka website aja dari kemaren ga bisa samsek..\xe2\x80\xa6 https://t.co/dUGvNJ8RMB'
2021-07-18 15:35:12,Telkomsel,Indonesia,"b'@jaka0178 Hai, Kak Zack. Maaf ya, perihal kendala sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manual\xe2\x80\xa6 https://t.co/4UxYxWM9RG'"
2021-07-18 15:23:12,Telkomsel,Indonesia,"b'@adhityaresna Hai, Kak Josef. Maaf ya jadi ga nyaman. Terkait keluhan tidak bisa akses internet , Sebelumnya apakah\xe2\x80\xa6 https://t.co/T3d1wTayzp'"
2021-07-18 15:21:10,Telkomsel,Indonesia,"b'@sepatutayo Malam, Kak Syafa. Maafin ya Kak, buat keluhan sinyal gak stabil, udah cobain pindahin mode jaringan dar\xe2\x80\xa6 https://t.co/UeCeFxGs2h'"
2021-07-18 15:18:04,Telkomsel,Indonesia,"b'@thelittlefrog Malam, Kak Penny. Maafin ya akses Zoom-nya jadi keganggu :( buat kendala akses data gak stabil, udah\xe2\x80\xa6 https://t.co/bfNO72tbo0'"
2021-07-18 14:58:46,perdoelkdw,indramayu,b'@Telkomsel No 081224142626\nLokasi desa kedungwungu kecamatan krangkeng kabupaten indramayu. \nBukan 1 atau 2 nomor t\xe2\x80\xa6 https://t.co/XYqNid4sOL'
2021-07-18 14:57:12,Utsurii_,Indonesia,"b'@dliwelah Iya sama, ini masalahnya di indihome dan jaringan telkomsel juga ya? Soalnya pakai data cellular juga gak bisa.'"
2021-07-18 14:53:35,Telkomsel,Indonesia,"b'@lailiafifahhh Hai, Kak Lailia. Maaf ya :( Perihal kendala sinyal, Apa sudah coba pindahkan jaringan dari otomatis\xe2\x80\xa6 https://t.co/EuxMMhCK1r'"
2021-07-18 14:48:46,Telkomsel,Indonesia,"b'@widy_d3m Hai, Kak Widy. Maaf ya, perihal kendala sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manual\xe2\x80\xa6 https://t.co/eYTnGkLdpC'"
2021-07-18 14:43:47,Telkomsel,Indonesia,"b'@13_budianto Maaf ya, Kak Budianto :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara OF\xe2\x80\xa6 https://t.co/A49atv1SDE'"
2021-07-18 14:40:34,13_budianto,,"b'@Telkomsel Sampai kapan jaringan bermasalah??\nMusim PKKM gini... WFH, BDR, dan sebagainya dilakukan dari rumah yang\xe2\x80\xa6 https://t.co/RFYaRS9imN'"
2021-07-18 14:35:41,Telkomsel,Indonesia,"b'@iimfz19 Malam, Kak Ilham. Maafin ya Kak, buat kendala akses data lambat, udah coba refresh jaringan OFF-kan data s\xe2\x80\xa6 https://t.co/eJyVq9Tl4N'"
2021-07-18 14:33:08,fatichagung,+62,b'ini telkomsel kenapa lagi si ya Allah \xf0\x9f\x98\xad masak harus pake jaringan 3G dulu baru bisa dipake internetan \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2021-07-18 14:23:54,yunhoyaaaaaa,🔞,b'Sumpah kesel bgt sama telkomsel KENAPA JARINGAN JELEK DISAAT KAYAK GINI AKAKSHHSAKKA'
2021-07-18 14:22:35,Telkomsel,Indonesia,"b'@rafaeldiotama Malam, Kak Dio. Maafin ya Kak, buat keluhan sinyal gak stabil, udah cobain pindahin mode jaringan da\xe2\x80\xa6 https://t.co/DWMSTctjpu'"
2021-07-18 14:21:46,Telkomsel,Indonesia,"b'@tikitaka2424 Hai, Kak Tiko. Maaf ya. Terkait keluhan jaringan pada akses tertentu, boleh mimin bantu cek dulu ya.\xe2\x80\xa6 https://t.co/NXYNVIlirp'"
2021-07-18 14:11:30,Telkomsel,Indonesia,"b'@xxmejikuhibiniu Malam, Kak Moon. Maafin banget ya, buat keluhan saat melakukan panggilan terputus, udah cobain pin\xe2\x80\xa6 https://t.co/S6iYmqAYJr'"
2021-07-18 14:08:22,Rahmadaniaa_,Banjarmasin - Indonesia,b'Leletnya ay telkomsel nih gara2 disuruh me upgrade tpi ku kda hakunkah jdi di lambatinya jaringan \xf0\x9f\x98\x91'
2021-07-18 14:02:22,ulfanurha11,,b'@Telkomsel jaringan makin kesini makin lemot yah apa ga akan ada perubahan gitu ? Perbaikin lah masa kaga ada kemaj\xe2\x80\xa6 https://t.co/BYjBOtPbq4'
2021-07-18 14:00:25,johnnyboy990,,b'mahal doang tp jaringan cacat @Telkomsel'
2021-07-18 13:57:28,il_gigikita,Bekasi,"b'@Telkomsel  knp sekarang lemot minta ampun ya,jaringan ga stabil https://t.co/n8P2kxdAhN'"
2021-07-18 13:55:07,tasyaaagbn_,,"b'jaringan @Telkomsel makin lama makin ngelag ya bundd :"")'"
2021-07-18 13:51:23,Telkomsel,Indonesia,"b'@Budi38290366 Hai, Kak Budi. Maaf ya. Jika sinyal hilang, udah coba pindahin jaringan dari otomatis ke manual dan k\xe2\x80\xa6 https://t.co/UsISoLXwmF'"
2021-07-18 13:41:02,Telkomsel,Indonesia,"b'@ehaanr_ Hai, Kak. Maaf ya \xf0\x9f\x98\x9f Jika sinyal berkendala, udah coba pindahin jaringan dari otomatis ke manual dan kembal\xe2\x80\xa6 https://t.co/QgypK1NrLN'"
2021-07-18 13:39:35,ehaanr_,"Bogor, Jawa Barat","b'dear @Telkomsel jaringan anda sampah sekali, harga doang mahal.'"
2021-07-18 12:56:19,sporttiaphari,,"b'@HillPratama Lihat aja deh nanti. Prediksi gw, yang udah Premier Platinum bisa di desktop juga. Kalau cuma pake jar\xe2\x80\xa6 https://t.co/68RpsT4qYK'"
2021-07-18 12:45:21,baksocampur,Indonesia,b'Jaringan telkomsel dari siang kek taik.'
2021-07-18 12:39:33,Telkomsel,Indonesia,"b'@kangmasbagong_ Hai, Kak Aan. Maaf banget ya, Seperti yang telah disampaikan rekan mimin di DM, untuk kendala jarin\xe2\x80\xa6 https://t.co/E4nwZH3QRV'"
2021-07-18 12:36:27,kangmasbagong_,"Bekasi, Jawa Barat",b'Dari kemarin ne jaringan ga pernah bener dah @Telkomsel'
2021-07-18 12:35:04,weayuw,Indonesia,b'Kenapa saat gue udah apdet 25gb jaringan anda leletttt TELKOMSEEEEEELLLLLLL @Telkomsel'
2021-07-18 12:34:43,Telkomsel,Indonesia,"b'@darmalemieux Hai, Kak. Maaf ya :( perihal kendala sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manua\xe2\x80\xa6 https://t.co/xxKiw1JhfR'"
2021-07-18 12:27:39,Telkomsel,Indonesia,"b'@_mhmmdfaisal Duh, Maaf ya Kak Faisal :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara\xe2\x80\xa6 https://t.co/6DZK3yXGTU'"
2021-07-18 11:54:37,Telkomsel,Indonesia,"b'@LadiesMan_98 Hai, Kak Kesuma. Maaf ya. Jika sinyal lemah, udah coba pindahin jaringan dari otomatis ke manual dan\xe2\x80\xa6 https://t.co/cH1aJPxbL3'"
2021-07-18 11:49:51,Telkomsel,Indonesia,"b'@enricaafo Hai, Kak. Maaf ya, perihal kendala sinyal. Apa sudah coba pindahkan jaringan dari otomatis ke manual dan\xe2\x80\xa6 https://t.co/SuL46CrWZ9'"
2021-07-18 11:34:56,ZafranDede,,"b'@Telkomsel mohon bantuannya, kanapa jaringan pada kartu telkomsel saya sos, saya udah restart kemudian cek posisi k\xe2\x80\xa6 https://t.co/tMoznCU2XV'"
2021-07-18 11:31:01,vidio,Indonesia,b'Atlet Lari dan Weightlifting Indonesia juga berpartisipasi di ajang Tokyo Olympic loh! \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nYuk kenalan dulu sama me\xe2\x80\xa6 https://t.co/pYF8324IRV'
2021-07-18 11:17:05,lopelope12_,,b'Jaringan @Telkomsel lemot parah \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2021-07-18 10:53:03,apiah_agustiani,Cipeucang シ,b'@Telkomsel kenapa jaringan telkomsel saya muter terus ya min? Padahal kuota saya banyak\xf0\x9f\xa5\xb2'
2021-07-18 10:45:57,deniarfian5,Jakarta,"b'@Telkomsel jaringan mu kembali busuk , stop kasih saya saran saran basi dari cs, yg cuma janji di laporkan ke tekni\xe2\x80\xa6 https://t.co/69Q6nBUSzv'"
2021-07-18 10:43:08,Halidth,Jakarta,"b'@Telkomsel Sudah saya DM tolong dijawab.... Jangan cuma janji aja, perbaiki jaringan kalian, beli modem orbit max\xe2\x80\xa6 https://t.co/gCCDc3ray4'"
2021-07-18 10:35:03,Telkomsel,Indonesia,"b'@11denjaka Hai, Kak Jaka. Maaf ya. Terkait kendala sinyal, jika sudah coba pindahin jaringan dari otomatis ke manua\xe2\x80\xa6 https://t.co/vFO4av3WsR'"
2021-07-18 10:19:40,Telkomsel,Indonesia,"b'@fluktuasilogika Maaf ya, Kak Abuy :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara OF\xe2\x80\xa6 https://t.co/2hukN598jW'"
2021-07-18 10:07:42,Telkomsel,Indonesia,"b'@Halidth Maaf ya, Kak Halid :( Perihal internet lambat. Apa Kakak sudah coba refresh jaringan dengan cara OFF-ON da\xe2\x80\xa6 https://t.co/DlEvGiOWCr'"
2021-07-18 10:06:32,twittataa,Indonesia,b'@Telkomsel koneksi lemot banget ganggu bgt. Mau dispeed test utk proof jg laman speed test nya gak keload terus. In\xe2\x80\xa6 https://t.co/FA066CToJg'
2021-07-18 09:56:23,bangkiky_,"ÜT: -6.236122,107.004034","b'andai saja @Telkomsel seperti ini,  jaringan dah cangih 5G tapi belum bisa buat hp yang ada fitur eSIM\xe2\x80\xa6 https://t.co/3Ktm8BLjHy'"
2021-07-18 09:39:39,Sabrero,Between the moon and you,"b'@Telkomsel Hi min, aku pengguna hp POCO F3 yg sdh memiliki fitur 5G. Apakah sudah bisa mendapatkan layanan jaringan\xe2\x80\xa6 https://t.co/XYJDObM2LQ'"
2021-07-18 09:00:19,Telkomsel,Indonesia,"b'@Ltsamune Hai, Kak Akmal. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga s\xe2\x80\xa6 https://t.co/sNHuQ8F9TF'"
2021-07-18 08:45:25,Telkomsel,Indonesia,"b'@dinatasiaka22 @simPATI Hai, Kak Dian. Maaf banget ya jadi ga nyaman. Terkait keluhan sinyal yang tidak stabil. Apa\xe2\x80\xa6 https://t.co/vOnrlUzIES'"
2021-07-18 08:19:12,cindertala,,"b'Provider yg ada sinyal di sini cuma XL &amp; Telkomsel, meski XL lebih unggul. Sinyal internetnya aja nih yg masih berm\xe2\x80\xa6 https://t.co/JEBaCkhgpj'"
2021-07-18 07:51:17,Telkomsel,Indonesia,"b'@niamsudrun75 @IndiHome Halo, Kak. Mohon maaf ya, mengenai keluhan sinyal tidak stabil, apakah sebelumnya sudah men\xe2\x80\xa6 https://t.co/HvkMCfVcnb'"
2021-07-18 07:47:23,Telkomsel,Indonesia,"b'@Flawsome25 Halo, Kak Riss. Mohon maaf ya, mengenai keluhan akses internet lambat, apakah sebelumnya sudah mencoba\xe2\x80\xa6 https://t.co/kSqtErwgpB'"
2021-07-18 07:46:50,Telkomsel,Indonesia,"b'@DediiV Halo, Kak Diana. Mohon maaf ya, mengenai keluhan sinyal yang menyebabkan akses internet lambat, apakah sebe\xe2\x80\xa6 https://t.co/BD75jD5VNF'"
2021-07-18 07:44:44,ulfahnurfaidah,"DKI Jakarta, Indonesia",b'Jaringan internet telkomsel makin hari makin bapuk \xf0\x9f\x98\xad'
2021-07-18 07:03:58,Telkomsel,Indonesia,"b'@muhammadulun Hai, Kak Ulun. Maaf ya. Jika sinyal ga stabil, udah coba pindahin jaringan dari otomatis ke manual da\xe2\x80\xa6 https://t.co/GgjIiUnPJ3'"
2021-07-18 06:17:42,Telkomsel,Indonesia,"b'@Wirawan_doyle Hai, Kak Wendi. Mohon maaf terkait kendala sinyal hilang kak, apakah sebelumnya sudah mencoba refres\xe2\x80\xa6 https://t.co/pHVZ6K1PIj'"
2021-07-18 06:15:56,Telkomsel,Indonesia,"b'@AdiMuhamadFaja1 Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga\xe2\x80\xa6 https://t.co/wNFh3ggK53'"
2021-07-18 06:14:47,Telkomsel,Indonesia,"b'@ocy_achmad Halo, Kak Diana. Mohon maaf ya, mengenai keluhan sinyal yang menyebabkan akses internet lambat, apakah\xe2\x80\xa6 https://t.co/HCwt0ORbSt'"
2021-07-18 06:14:12,Telkomsel,Indonesia,"b'@rahmad_kh Hai, Kak. Maaf jadi ga nyaman. Mengenai kendala sinyal yang menyebabkan akses data lambat atau ga stabil\xe2\x80\xa6 https://t.co/6OrO3HWRst'"
2021-07-18 06:13:35,Telkomsel,Indonesia,"b'@PemburuVampiir Halo, Kak. Mohon maaf ya, mengenai keluhan sinyal tidak stabil, apakah sebelumnya sudah mencoba ref\xe2\x80\xa6 https://t.co/74FhTrPK92'"
